1,Respondent,MainBranch,Country,DatabaseWorkedWith,DevType,LanguageWorkedWith,NEWCollabToolsWorkedWith,OpSys,PlatformWorkedWith,UndergradMajor
2,149,I am a developer by profession,India,MySQL;PostgreSQL,"Developer, back-end;Developer, QA or test;DevOps specialist;Engineer, data;System administrator",Bash/Shell/PowerShell;C++;Perl,"Confluence;Jira;Github;Google Suite (Docs, Meet, etc)",Linux-based,Linux,"Computer science, computer engineering, or software engineering"
3,177,I am a developer by profession,India,SQLite,"Developer, desktop or enterprise applications;Developer, mobile",Objective-C;Swift,Github;Slack,MacOS,Android;iOS;Windows,"Computer science, computer engineering, or software engineering"
4,227,I am a developer by profession,India,MySQL,"Developer, back-end",Java;JavaScript;Python,Confluence;Jira;Github;Slack,Windows,Android;Docker;Linux;MacOS;Windows,"Computer science, computer engineering, or software engineering"
5,268,I am a developer by profession,India,MySQL,"Developer, full-stack;System administrator",HTML/CSS;Java;JavaScript;PHP;SQL,Gitlab;Slack,Linux-based,Android;Docker;Heroku;Linux;MacOS,"Computer science, computer engineering, or software engineering"
6,274,I am a developer by profession,India,MongoDB;MySQL,"Developer, back-end;Developer, front-end;Developer, full-stack",HTML/CSS;JavaScript;TypeScript,"Slack;Trello;Google Suite (Docs, Meet, etc)",MacOS,AWS;Docker;Heroku;MacOS,"Computer science, computer engineering, or software engineering"
7,279,I am a developer by profession,India,MongoDB;PostgreSQL;SQLite,"Developer, full-stack",Bash/Shell/PowerShell;C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,"Jira;Github;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",MacOS,Arduino;Heroku;Linux;MacOS,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
8,322,I am a developer by profession,India,DynamoDB;MongoDB;MySQL,"Data scientist or machine learning specialist;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, QA or test",HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",Windows,AWS,"Computer science, computer engineering, or software engineering"
9,376,I am a developer by profession,India,IBM DB2;MariaDB;MySQL,"Developer, back-end;DevOps specialist;Engineer, data;System administrator",Bash/Shell/PowerShell;HTML/CSS;Python,Jira;Github,Linux-based,Linux;MacOS;Windows,"Computer science, computer engineering, or software engineering"
10,414,I am a developer by profession,India,PostgreSQL,"Data scientist or machine learning specialist;Developer, back-end",Python;R;Scala,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",MacOS,AWS;Google Cloud Platform;iOS;Linux;MacOS;Windows,"Computer science, computer engineering, or software engineering"
11,474,I am a developer by profession,India,MySQL;Oracle;PostgreSQL,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",HTML/CSS;Java;JavaScript;SQL,Confluence;Jira,Windows,Windows,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
12,493,I am a developer by profession,India,Firebase,"Developer, front-end",HTML/CSS;JavaScript;TypeScript,Github,Linux-based,Linux;Windows,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
13,553,I am a developer by profession,India,Couchbase;Elasticsearch;MariaDB;MongoDB;Redis,"Developer, back-end;Developer, full-stack",HTML/CSS;Java;JavaScript;TypeScript,Jira;Github;Gitlab;Slack;Trello,Linux-based,AWS;Docker;Heroku;Kubernetes,"Computer science, computer engineering, or software engineering"
14,582,I am a developer by profession,India,PostgreSQL,"Developer, back-end;Developer, full-stack;Developer, mobile",Java;Kotlin,Gitlab;Microsoft Teams,MacOS,Android,"Computer science, computer engineering, or software engineering"
15,591,I am a developer by profession,India,Elasticsearch;Firebase;MongoDB;MySQL;Redis;SQLite,"Developer, full-stack;Developer, mobile",HTML/CSS;JavaScript;Ruby;TypeScript,Jira;Github,Linux-based,Android;Google Cloud Platform;Heroku;Kubernetes;Linux;MacOS,"Computer science, computer engineering, or software engineering"
16,597,I am a developer by profession,India,Elasticsearch;PostgreSQL,"Developer, back-end;Developer, full-stack",Go;Rust;Scala;SQL,"Confluence;Jira;Github;Google Suite (Docs, Meet, etc)",MacOS,AWS;Docker;Linux;MacOS,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
17,624,I am a developer by profession,India,Firebase;MongoDB;MySQL,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",HTML/CSS;JavaScript;TypeScript,Jira;Github;Stack Overflow for Teams,Windows,Android,"Computer science, computer engineering, or software engineering"
18,698,I am a developer by profession,India,Couchbase;MongoDB,"Designer;Developer, back-end",C++;Go;HTML/CSS;Java;JavaScript;Python,"Gitlab;Google Suite (Docs, Meet, etc)",Linux-based,Docker;Linux;MacOS;Windows,"A humanities discipline (such as literature, history, philosophy, etc.)"
19,753,I am a developer by profession,India,MongoDB;PostgreSQL,"Developer, game or graphics",Go;HTML/CSS;Python,Confluence;Jira;Github;Gitlab,Linux-based,Docker;Linux,"Fine arts or performing arts (such as graphic design, music, studio art, etc.)"
20,776,I am a developer by profession,India,Firebase;MongoDB;MySQL,"Developer, front-end",HTML/CSS;JavaScript;TypeScript,Jira;Github;Gitlab;Slack;Microsoft Teams;Microsoft Azure,Windows,Microsoft Azure,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
